x/L,v/u_b
-0.9898237416640937, 0.0603270760259695
-0.9746978923306514, 0.09554096006952102
-0.9620405413064145, 0.14582401874043613
-0.9394084420123284, 0.17603163708037084
-0.9093204702741152, 0.18113236062745175
-0.8691569952330269, 0.2063589020220275
-0.8040377579486263, 0.18893457849761636
-0.7388933319059703, 0.18156056951782412
-0.6712552187958509, 0.1691677004552867
-0.6011612017556558, 0.13668049949307634
-0.4033664775410729, 0.05677546111170573
-0.20045843540028077, 0.017084275287938974
-0.000006297189564296752, -0.002512578636154779
0.19798363990151185, -0.0045276792967298765
0.40344834100540905, -0.02411193884169543
0.5988627275646872, -0.053771701689536266
0.6664882462956773, -0.07118972802438334
0.7316011863905129, -0.09112663018494871
0.7990000062971889, -0.1989974874213635
0.8612540223298327, -0.35964509039615655
0.9037159715618908, -0.41732734680512124
0.9314362000239279, -0.356956190452202
0.9568012795889179, -0.2362894440211347
0.972040478334518, -0.15584914452679818
0.9847419096857064, -0.08797803540279939

