u/ub,y/h
-0.0526130188097051, -0.9925945050723861
-0.1252573976234397, -0.9777016517528214
-0.18037040069017182, -0.9677898753786182
-0.22040163475041064, -0.9402522654139452
-0.24288889868451619, -0.9126705751223231
-0.24529442509807747, -0.8724756141334117
-0.22006158651393826, -0.8045730190615927
-0.18230993507597507, -0.7416640953142608
-0.15205823640909003, -0.6712363272271584
-0.09925630191245625, -0.603264463070131
-0.038595474839578925, -0.399594460992059
-0.023060308184457246, -0.20106296559845335
-0.005012562893180685, -0.000012594379128593562
0.025566589631047566, 0.20106926278801746
0.06365199211591857, 0.3971448542515471
0.08671230030037556, 0.59820781985
0.09190748169092111, 0.6710851946776144
0.09959005295936368, 0.7364311307863288
0.11227888993142313, 0.7992770826380174
0.13501174425853657, 0.8696859591564285
0.16768156371811244, 0.9049439235269288
0.24043929194400468, 0.9352774856581493
0.38085402484870884, 0.9607559146352973
0.5262435375092087, 0.9711714661746449
0.7092461634372562, 0.9892192114659223

