x/L,v/u_b
0.9867921852285216, -0.13025210084033595
0.9736198276779061, -0.2521008403361351
0.9605183845690168, -0.357142857142857
0.9351842002623818, -0.361344537815126
0.9059319930503832, -0.29411764705882343
0.8684005247668676, -0.18907563025210103
0.8012977342835865, -0.09243697478991651
0.7380420522639427, -0.08403361344537821
0.6663830088997618, -0.06722689075630288
0.5989256462078493, -0.054621848739496055
0.396535829521682, -0.021008403361344782
0.1983122362869201, 0
-0.004219409282700581, 6.411347476997312e-19
-0.20450838563273394, 0.03151260504201653
-0.4048328192036303, 0.05462184873949565
-0.6030564124383919, 0.07563025210084003
-0.6704783179094413, 0.0966386554621844
-0.7380065950430796, 0.09243697478991583
-0.8012090912314284, 0.11344537815126027
-0.8686664539233403, 0.126050420168067
-0.9066765946885067, 0.1176470588235294
-0.9362833741091359, 0.1008403361344538
-0.9659610679714923, 0.06722689075630242
-0.9787256674821814, 0.04201680672268903
-0.9872531290997395, 0.021008403361344557
-1.0042371378931314, -0.004201680672269012

