TITLE:  An Experimental Investigation of the Flow through an Axial-Flow Pump
AUTHORS:  Zierke, Straka, and Taylor
JOURNAL PAPER FIGURE(S):  3
PSU/ARL TR 93-12 FIGURE(S): 14, 15
*****************************************************************************
DATA TITLE:  Inlet Profile
MEASUREMENT TYPE:  linear 5-hole probe survey
MEASUREMENT LOCATION:  2.55 inches upstream of IGV leading edge
NOMINAL CONDITIONS:  
  vinf = 35.0 ft/sec
  pref = 43.2 psia
  rho  = 1.932 slugs/ft^3
  rotor rpm  = 260
  volumetric flow coefficient = 1.36
  IGV span = 10.50 inches 
  IGV chord = 6.90 inches
DATA COLUMNS:
  1 --  percent span of measurement (0 is at hub, 100 at outer casing liner)
  2 --  vz, axial velocity (ft/sec)  [uncertainty: 1.1 ft/sec]
  3 --  vt, tangential velocity (ft/sec)  [uncertainty: 1.1 ft/sec] 
  4 --  vr, radial velocity (ft/sec)  [uncertainty: 1.1 ft/sec]
  5 --  cpt, total pressure coefficient, = (Ptot - Pref)/(0.5*rho*vinf^2)
  6 --  cps, static pressure coefficient, = (Psta - Pref)/(0.5*rho*vinf^2)
*****************************************************************************
64.2857,   33.5548,   0.9238,   0.8469,   0.9950,   0.0774,   
61.9048,   33.5378,   0.9111,   0.8255,   0.9945,   0.0802,   
61.9048,   33.4120,   0.9320,   0.8179,   0.9948,   0.0817,   
61.9048,   33.4670,   0.8479,   0.7946,   0.9950,   0.0834,   
59.5238,   33.4203,   0.8381,   0.7769,   0.9954,   0.0828,   
59.5238,   33.4769,   0.8139,   0.7641,   0.9951,   0.0832,   
59.5238,   33.4110,   0.8891,   0.8189,   0.9948,   0.0814,   
57.1429,   33.4947,   0.7881,   0.7543,   0.9953,   0.0823,   
57.1429,   33.4952,   0.7963,   0.7468,   0.9955,   0.0818,   
57.1429,   33.5016,   0.7990,   0.8158,   0.9950,   0.0823,   
54.7619,   33.6359,   0.6424,   0.6686,   0.9960,   0.0741,   
54.7619,   33.5407,   0.6549,   0.7116,   0.9957,   0.0749,   
54.7619,   33.6103,   0.6662,   0.6526,   0.9960,   0.0765,   
52.3810,   33.4597,   0.6614,   0.7116,   0.9952,   0.0810,   
52.3810,   33.4718,   0.6619,   0.7221,   0.9956,   0.0829,   
52.3810,   33.4796,   0.6755,   0.7014,   0.9956,   0.0832,   
50.0000,   33.4403,   0.7059,   0.7791,   0.9952,   0.0868,   
50.0000,   33.4350,   0.6807,   0.7510,   0.9955,   0.0883,   
50.0000,   33.3511,   0.6580,   0.7897,   0.9948,   0.0873,   
47.6190,   33.3399,   0.7575,   0.8230,   0.9953,   0.0915,   
47.6190,   33.3691,   0.7771,   0.8400,   0.9950,   0.0894,   
47.6190,   33.3441,   0.7656,   0.8199,   0.9955,   0.0912,   
45.2381,   33.5107,   0.6772,   0.9067,   0.9954,   0.0830,   
45.2381,   33.4349,   0.6568,   0.9042,   0.9950,   0.0837,   
45.2381,   33.3909,   0.6737,   0.8903,   0.9950,   0.0865,   
42.8571,   33.5825,   0.5706,   0.9236,   0.9958,   0.0800,   
42.8571,   33.5149,   0.5819,   0.9219,   0.9943,   0.0773,   
42.8571,   33.5452,   0.5632,   0.9363,   0.9950,   0.0782,   
40.4762,   33.6284,   0.5841,   0.9579,   0.9952,   0.0751,   
40.4762,   33.6184,   0.5713,   0.9522,   0.9955,   0.0747,   
40.4762,   33.6047,   0.5443,   0.9136,   0.9959,   0.0763,   
38.0952,   33.2961,   0.5956,   0.9792,   0.9951,   0.0876,   
38.0952,   33.4286,   0.5840,   0.9616,   0.9948,   0.0883,   
38.0952,   33.3913,   0.5812,   0.9802,   0.9953,   0.0886,   
35.7143,   33.4630,   0.5495,   0.8115,   0.9958,   0.0833,   
35.7143,   33.4418,   0.5492,   0.7894,   0.9954,   0.0842,   
35.7143,   33.4389,   0.5652,   0.8302,   0.9954,   0.0878,   
33.3333,   33.5085,   0.5796,   0.9158,   0.9956,   0.0808,   
33.3333,   33.5467,   0.5760,   0.8972,   0.9955,   0.0802,   
33.3333,   33.5285,   0.5576,   0.8964,   0.9957,   0.0827,   
30.9524,   33.5443,   0.6458,   1.0275,   0.9957,   0.0828,   
30.9524,   33.4338,   0.6259,   1.0402,   0.9949,   0.0826,   
