# NACA 0012, 897x257 grid, CFL3D with SST-V model,
# freestream k/a_inf^2=9.e-9
# freestream omega*mu_inf/(rho_inf*a_inf^2)=1.e-6
# Lifting results have point vortex farfield correction on
# Note: results very near T.E. have high numerical error - see Swanson & Turkel, AIAA 87-1107, 1987
# (Results here given to greater accuracy than convergence tolerance)
variables="x","cp"
zone, t="alpha=0"
    0.11472E+00   -0.41380E+00
    0.11046E+00   -0.41354E+00
    0.10631E+00   -0.41307E+00
    0.10229E+00   -0.41236E+00
    0.98386E-01   -0.41143E+00
    0.94598E-01   -0.41026E+00
    0.90925E-01   -0.40885E+00
    0.87364E-01   -0.40721E+00
    0.83912E-01   -0.40530E+00
    0.80568E-01   -0.40314E+00
    0.77330E-01   -0.40071E+00
    0.74194E-01   -0.39801E+00
    0.71158E-01   -0.39503E+00
    0.68221E-01   -0.39175E+00
    0.65380E-01   -0.38818E+00
    0.62633E-01   -0.38428E+00
    0.59977E-01   -0.38007E+00
    0.57410E-01   -0.37553E+00
    0.54930E-01   -0.37063E+00
    0.52535E-01   -0.36538E+00
    0.50222E-01   -0.35976E+00
    0.47990E-01   -0.35374E+00
    0.45837E-01   -0.34732E+00
    0.43759E-01   -0.34047E+00
    0.41756E-01   -0.33318E+00
    0.39825E-01   -0.32543E+00
    0.37964E-01   -0.31720E+00
    0.36171E-01   -0.30847E+00
    0.34445E-01   -0.29922E+00
    0.32783E-01   -0.28943E+00
    0.31184E-01   -0.27908E+00
    0.29646E-01   -0.26812E+00
    0.28167E-01   -0.25657E+00
    0.26746E-01   -0.24437E+00
    0.25380E-01   -0.23149E+00
    0.24068E-01   -0.21794E+00
    0.22809E-01   -0.20368E+00
    0.21601E-01   -0.18866E+00
    0.20443E-01   -0.17288E+00
    0.19333E-01   -0.15631E+00
    0.18269E-01   -0.13893E+00
    0.17250E-01   -0.12074E+00
    0.16276E-01   -0.10177E+00
    0.15343E-01   -0.82094E-01
    0.14452E-01   -0.61865E-01
    0.13601E-01   -0.41282E-01
    0.12789E-01   -0.20238E-01
    0.12014E-01    0.13261E-02
    0.11275E-01    0.24378E-01
    0.10572E-01    0.48989E-01
    0.99023E-02    0.74637E-01
    0.92657E-02    0.10133E+00
    0.86610E-02    0.12851E+00
    0.80870E-02    0.15617E+00
    0.75428E-02    0.18438E+00
    0.70272E-02    0.21313E+00
    0.65393E-02    0.24235E+00
    0.60780E-02    0.27201E+00
    0.56425E-02    0.30200E+00
    0.52316E-02    0.33225E+00
    0.48446E-02    0.36263E+00
    0.44803E-02    0.39305E+00
    0.41380E-02    0.42342E+00
    0.38166E-02    0.45362E+00
    0.35153E-02    0.48355E+00
    0.32332E-02    0.51311E+00
    0.29694E-02    0.54219E+00
    0.27231E-02    0.57070E+00
    0.24934E-02    0.59854E+00
    0.22795E-02    0.62563E+00
    0.20806E-02    0.65188E+00
    0.18959E-02    0.67723E+00
    0.17246E-02    0.70163E+00
    0.15660E-02    0.72501E+00
    0.14194E-02    0.74733E+00
    0.12840E-02    0.76858E+00
    0.11592E-02    0.78873E+00
    0.10443E-02    0.80777E+00
    0.93876E-03    0.82571E+00
    0.84191E-03    0.84254E+00
    0.75319E-03    0.85828E+00
