############################################################
#
# TA1 External Aerodynamics AC5 Ahmed Body Partner 15 University of Poitiers
#
# Measurements MOVA- project : Ahmed Car Model
# slant - angle = 25 degree
#
# Pressure measurements
#
# Data on the rear part of the model
#
# H. Lienhart/Th. Schenk
# Institute of Fluid Mechanics
# University Erlangen-Nuremberg
#			 
# Origin of coordinate system: x=0: end of the car, y=0: symmetry plane, z=0: ground plane
#
# Kinematic viscosity of air: 15x10-6 m2 s-1
# Bulk velocity: Ub=40 m s-1 
# Height of the body: h=288 mm 
# Reynolds number based on the height of the body: Re=768,000 
#   
############################################################
%AC = 1-05
%Column1Name = x
%Column1Units = mm
%Column1Type = Real
%Column2Name = y
%Column2Units = mm
%Column2Type = Real
%Column3Name = z
%Column3Units = mm
%Column3Type = Real
%Column4Name = Cp
%Column4Units = 1
%Column4Type = Real
%End Of Metadata
-188.26	-180.00	331.97	-0.849
-188.26	-187.50	331.97	-1.126
-181.01	0.00	328.59	-0.891
-181.01	-30.00	328.59	-0.994
-181.01	-60.00	328.59	-0.969
-181.01	-90.00	328.59	-0.951
-181.01	-120.00	328.59	-1.082
-181.01	-150.00	328.59	-0.875
-181.01	-157.50	328.59	-0.955
-181.01	-165.00	328.59	-0.772
-181.01	-172.50	328.59	-0.744
-181.01	-180.00	328.59	-0.787
-181.01	-187.50	328.59	-1.420
-173.76	0.00	325.20	-0.898
-173.76	-30.00	325.20	-0.900
-173.76	-60.00	325.20	-0.899
-173.76	-90.00	325.20	-0.826
-173.76	-120.00	325.20	-0.894
-173.76	-150.00	325.20	-0.749
-173.76	-157.50	325.20	-0.723
-173.76	-165.00	325.20	-0.682
-173.76	-172.50	325.20	-0.680
-173.76	-180.00	325.20	-0.773
-173.76	-187.50	325.20	-1.566
-155.63	0.00	316.75	-0.836
-155.63	-30.00	316.75	-0.703
-155.63	-60.00	316.75	-0.689
-155.63	-90.00	316.75	-0.630
-155.63	-120.00	316.75	-0.593
-155.63	-150.00	316.75	-0.550
-155.63	-157.50	316.75	-0.544
-155.63	-165.00	316.75	-0.557
-155.63	-172.50	316.75	-0.611
-155.63	-180.00	316.75	-0.909
-155.63	-187.50	316.75	-1.302
-128.45	0.00	304.07	-0.598
-128.45	-30.00	304.07	-0.517
-128.45	-60.00	304.07	-0.492
-128.45	-90.00	304.07	-0.460
-128.45	-120.00	304.07	-0.421
-128.45	-150.00	304.07	-0.416
-128.45	-157.50	304.07	-0.443
-128.45	-165.00	304.07	-0.498
-128.45	-172.50	304.07	-0.661
-128.45	-180.00	304.07	-1.145
-128.45	-187.50	304.07	-0.933
-101.26	0.00	291.40	-0.413
-101.26	-30.00	291.40	-0.390
-101.26	-60.00	291.40	-0.371
-101.26	-90.00	291.40	-0.356
-101.26	-120.00	291.40	-0.328
-101.26	-150.00	291.40	-0.366
-101.26	-157.50	291.40	-0.411
-101.26	-165.00	291.40	-0.528
-101.26	-172.50	291.40	-0.812
-101.26	-180.00	291.40	-1.017
-101.26	-187.50	291.40	-0.748
-74.07	0.00	278.72	-0.304
-74.07	-30.00	278.72	-0.301
-74.07	-60.00	278.72	-0.290
-74.07	-90.00	278.72	-0.279
-74.07	-120.00	278.72	-0.266
-74.07	-150.00	278.72	-0.344
-74.07	-157.50	278.72	-0.423
-74.07	-165.00	278.72	-0.594
-74.07	-172.50	278.72	-0.832
-74.07	-180.00	278.72	-0.763
-74.07	-187.50	278.72	-0.603
-46.88	0.00	266.04	-0.235
-46.88	-30.00	266.04	-0.239
-46.88	-60.00	266.04	-0.231
-46.88	-90.00	266.04	-0.225
-46.88	-120.00	266.04	-0.224
-46.88	-150.00	266.04	-0.333
-46.88	-157.50	266.04	-0.443
-46.88	-165.00	266.04	-0.614
-46.88	-172.50	266.04	-0.712
-46.88	-180.00	266.04	-0.560
-46.88	-187.50	266.04	-0.490
-28.75	0.00	257.59	-0.205
-28.75	-30.00	257.59	-0.208
-28.75	-60.00	257.59	-0.205
-28.75	-90.00	257.59	-0.197
-28.75	-120.00	257.59	-0.202
-28.75	-150.00	257.59	-0.323
-28.75	-157.50	257.59	-0.435
-28.75	-165.00	257.59	-0.570
-28.75	-172.50	257.59	-0.576
-28.75	-180.00	257.59	-0.423
-28.75	-187.50	257.59	-0.383
-21.50	0.00	254.20	-0.197
-21.50	-30.00	254.20	-0.199
-21.50	-60.00	254.20	-0.195
-21.50	-90.00	254.20	-0.189
-21.50	-120.00	254.20	-0.203
-21.50	-150.00	254.20	-0.311
-21.50	-157.50	254.20	-0.416
-21.50	-165.00	254.20	-0.527
-21.50	-172.50	254.20	-0.505
-21.50	-180.00	254.20	-0.360
-21.50	-187.50	254.20	-0.331
-14.25	0.00	250.82	-0.188
-14.25	-30.00	250.82	-0.193
-14.25	-60.00	250.82	-0.189
-14.25	-90.00	250.82	-0.183
-14.25	-120.00	250.82	-0.190
-14.25	-150.00	250.82	-0.294
-14.25	-157.50	250.82	-0.386
-14.25	-165.00	250.82	-0.464
-14.25	-172.50	250.82	-0.420
-14.25	-180.00	250.82	-0.292
-14.25	-187.50	250.82	-0.274
-7.00	0.00	247.44	-0.182
-7.00	-30.00	247.44	-0.184
-7.00	-60.00	247.44	-0.184
-7.00	-90.00	247.44	-0.177
-7.00	-120.00	247.44	-0.183
-7.00	-150.00	247.44	-0.259
-7.00	-157.50	247.44	-0.324
-7.00	-165.00	247.44	-0.370
-7.00	-172.50	247.44	-0.317
-7.00	-180.00	247.44	-0.226
-7.00	-187.50	247.44	-0.215
-215.00	0.00	50.00	-0.152
-215.00	-30.00	50.00	-0.147
-215.00	-60.00	50.00	-0.145
-215.00	-90.00	50.00	-0.146
-215.00	-120.00	50.00	-0.155
-215.00	-150.00	50.00	-0.160
-215.00	-157.50	50.00	-0.158
-215.00	-165.00	50.00	-0.156
-215.00	-172.50	50.00	-0.156
-215.00	-180.00	50.00	-0.160
-215.00	-187.50	50.00	-0.163
-181.01	0.00	50.00	-0.139
-181.01	-30.00	50.00	-0.135
-181.01	-60.00	50.00	-0.153
-181.01	-90.00	50.00	-0.150
-181.01	-120.00	50.00	-0.152
-181.01	-150.00	50.00	-0.153
-181.01	-157.50	50.00	-0.153
-181.01	-165.00	50.00	-0.152
-181.01	-172.50	50.00	-0.152
-181.01	-180.00	50.00	-0.154
-181.01	-187.50	50.00	-0.159
-128.45	0.00	50.00	-0.158
-128.45	-30.00	50.00	-0.156
-128.45	-60.00	50.00	-0.154
-128.45	-90.00	50.00	-0.156
-128.45	-120.00	50.00	-0.151
-128.45	-150.00	50.00	-0.150
-128.45	-157.50	50.00	-0.154
-128.45	-165.00	50.00	-0.152
-128.45	-172.50	50.00	-0.153
-128.45	-180.00	50.00	-0.156
-128.45	-187.50	50.00	-0.159
-74.07	0.00	50.00	-0.147
-74.07	-30.00	50.00	-0.147
-74.07	-60.00	50.00	-0.149
-74.07	-90.00	50.00	-0.147
