############################################################
#
# TA1 External Aerodynamics AC5 Ahmed Body Partner 15 University of Poitiers
#
# Measurements MOVA- project : Ahmed Car Model
# slant - angle = 25 degree
#
# LDA measurements
#
# Data in the plane y=0 (symmetry plane)
#
# H. Lienhart/Th. Schenk
# Institute of Fluid Mechanics
# University Erlangen-Nuremberg
#			 
# Origin of coordinate system: x=0: end of the car, y=0: symmetry plane, z=0: ground plane
#
# Kinematic viscosity of air: 15x10-6 m2 s-1
# Bulk velocity: Ub=40 m s-1 
# Height of the body: h=288 mm 
# Reynolds number based on the height of the body: Re=768,000 
#   
############################################################
%AC = 1-05
%Column1Name = x
%Column1Units = m
%Column1Type = Real
%Column2Name = y
%Column2Units = m
%Column2Type = Real
%Column3Name = z
%Column3Units = m
%Column3Type = Real
%Column4Name = U
%Column4Units = m s-1
%Column4Type = Real
%Column5Name = V
%Column5Units = m s-1
%Column5Type = Real
%Column6Name = W
%Column6Units = m s-1
%Column6Type = Real
%Column7Name = u_rms
%Column7Units = m s-1
%Column7Type = Real
%Column8Name = v_rms
%Column8Units = m s-1
%Column8Type = Real
%Column9Name = w_rms
%Column9Units = m s-1
%Column9Type = Real
%Column10Name = uv
%Column10Units = m2 s-2
%Column10Type = Real
%Column11Name = uw
%Column11Units = m2 s-2
%Column11Type = Real
%Column12Name = uuu
%Column12Units = m3 s-3
%Column12Type = Real
%Column13Name = vvv
%Column13Units = m3 s-3
%Column13Type = Real
%Column14Name = www
%Column14Units = m3 s-3
%Column14Type = Real
%Column15Name = uuv
%Column15Units = m3 s-3
%Column15Type = Real
%Column16Name = uuw
%Column16Units = m3 s-3
%Column16Type = Real
%Column17Name = uvv
%Column17Units = m3 s-3
%Column17Type = Real
%Column18Name = uww
%Column18Units = m3 s-3
%Column18Type = Real
%End Of Metadata
-1442.000	0.000	518.000	39.288	0.427	1.375	0.297	0.239	0.231	0.011	-0.004	-0.014	-0.008	0.009	-0.028	0.004	-0.007	-0.003
-1442.000	0.000	558.000	39.497	0.345	1.284	0.300	0.237	0.223	0.010	-0.005	-0.018	-0.008	0.008	-0.031	0.004	-0.006	-0.002
-1442.000	0.000	598.000	39.728	0.254	1.151	0.292	0.235	0.218	0.011	-0.004	-0.015	-0.008	0.006	-0.030	0.003	-0.008	-0.002
-1442.000	0.000	638.000	39.878	0.345	1.141	0.293	0.237	0.215	0.012	-0.005	-0.021	-0.007	0.007	-0.029	0.004	-0.007	-0.002
-1442.000	0.000	688.000	40.034	0.377	1.101	0.278	0.238	0.217	0.010	-0.004	-0.015	-0.008	0.007	-0.028	0.004	-0.009	-0.002
-1442.000	0.000	738.000	40.173	0.428	0.992	0.279	0.238	0.213	0.012	-0.005	-0.021	-0.009	0.008	-0.029	0.006	-0.007	-0.004
-1262.000	0.000	28.000	30.078	1.229	0.396	1.992	0.999	1.226	0.023	-0.863	-5.120	-0.133	0.971	0.040	1.370	-0.894	-1.150
-1262.000	0.000	48.000	33.010	1.100	0.703	0.416	0.254	0.386	0.007	-0.013	-0.010	-0.003	0.027	-0.008	0.010	-0.005	-0.004
-1262.000	0.000	68.000	33.054	1.001	0.786	0.338	0.210	0.291	0.006	-0.008	-0.009	-0.004	0.013	-0.009	0.006	-0.003	-0.002
-1262.000	0.000	88.000	33.080	0.852	0.846	0.290	0.207	0.229	0.007	0.000	-0.010	-0.005	0.008	-0.010	0.004	-0.004	-0.001
-1262.000	0.000	108.000	33.044	0.795	0.926	0.285	0.211	0.215	0.006	0.002	-0.004	-0.005	0.007	-0.007	0.003	-0.003	0.000
-1262.000	0.000	128.000	32.996	0.702	1.162	0.283	0.209	0.216	0.004	0.001	-0.011	-0.004	0.011	-0.009	0.004	-0.004	-0.002
-1262.000	0.000	148.000	32.955	0.619	1.490	0.277	0.212	0.232	0.007	0.002	-0.007	-0.005	0.009	-0.008	0.003	-0.003	-0.001
-1262.000	0.000	168.000	33.018	0.614	1.726	0.291	0.209	0.236	0.005	0.001	-0.010	-0.005	0.008	-0.008	0.004	-0.004	-0.001
-1262.000	0.000	188.000	33.171	0.525	1.996	0.291	0.210	0.239	0.004	0.000	-0.009	-0.004	0.009	-0.007	0.003	-0.003	-0.001
-1262.000	0.000	208.000	33.343	0.483	2.387	0.291	0.212	0.238	0.005	0.002	-0.010	-0.005	0.007	-0.007	0.004	-0.003	0.000
-1262.000	0.000	228.000	33.611	0.472	2.761	0.301	0.210	0.234	0.005	0.002	-0.014	-0.005	0.007	-0.009	0.005	-0.004	-0.001
-1262.000	0.000	248.000	33.949	0.502	3.012	0.294	0.213	0.229	0.005	-0.001	-0.013	-0.005	0.006	-0.007	0.004	-0.003	-0.001
-1262.000	0.000	268.000	34.321	0.459	3.187	0.282	0.210	0.229	0.006	0.001	-0.016	-0.004	0.009	-0.008	0.004	-0.003	-0.002
-1262.000	0.000	288.000	34.720	0.530	3.373	0.282	0.223	0.246	0.008	0.000	-0.002	-0.008	0.008	-0.010	0.002	-0.004	-0.001
