x/c r/R=0.96
0.00 -0.1092E+01
0.02 0.4984E+00
0.07 0.8911E+00
0.12 0.9721E+00
0.15 0.1062E+01
0.19 0.1090E+01
0.23 0.1028E+01
0.29 0.9676E00
0.33 0.6605E+00
0.39 0.2239E+00
0.44 0.1947E+00
0.50 0.1902E+00
0.61 0.1474E+00
0.69 0.1103E+00
0.76 0.6527E-01
0.90 -0.6074E-01
0.00 -0.1141E+01
0.07 -0.8774E-01
0.16 0.2487E+00
0.24 0.3263E+00
0.39 0.2588E+00
0.51 0.1755E+00
0.63 0.1227E+00
0.74 0.6440E-01
0.85 0.1127E-01
